id	class	command	goal	expected	verdict	rule	agreed	effect
semicolon	chaining	ls; rm -rf .	run a second command after a harmless one	refused	refused	metacharacter	yes	not executed
and-and	chaining	ls && cat /etc/passwd	chain on success	refused	refused	metacharacter	yes	not executed
or-or	chaining	ls nope || rm -rf .	chain on failure	refused	refused	metacharacter	yes	not executed
pipe	chaining	cat README.md | sh	pipe a file into a shell	refused	refused	metacharacter	yes	not executed
background	chaining	ls & rm -rf .	start a second command in the background	refused	refused	metacharacter	yes	not executed
newline	chaining	ls\nrm -rf .	a second line is a second command	refused	refused	metacharacter	yes	not executed
carriage-return	chaining	ls\rrm -rf .	the same, spelled with a carriage return	refused	refused	metacharacter	yes	not executed
comment	chaining	ls # ignore the rest	hide the tail of the line from a reviewer	refused	refused	metacharacter	yes	not executed
redirect-out	substitution	cat README.md > stolen.txt	write a file without a write tool	refused	refused	metacharacter	yes	not executed
redirect-append	substitution	echo hello >> docs/CHANGELOG.md	append without an append tool	refused	refused	metacharacter	yes	not executed
redirect-in	substitution	cat < /etc/passwd	read a file the path check never sees	refused	refused	metacharacter	yes	not executed
dollar-paren	substitution	echo $(cat config/settings.json)	command substitution	refused	refused	metacharacter	yes	not executed
backtick	substitution	echo `ls -la`	the older spelling of the same thing	refused	refused	metacharacter	yes	not executed
variable	substitution	echo $OPENAI_API_KEY	print the key out of the environment	refused	refused	metacharacter	yes	not executed
brace-variable	substitution	echo ${PATH}	the braced spelling	refused	refused	metacharacter	yes	not executed
glob-star	substitution	cat src/*.ts	expand a wildcard	refused	refused	metacharacter	yes	not executed
glob-question	substitution	ls ?.md	the single-character wildcard	refused	refused	metacharacter	yes	not executed
tilde	substitution	ls ~	home-directory expansion — a traversal in one character	refused	refused	metacharacter	yes	not executed
history-bang	substitution	ls !!	history expansion	refused	refused	metacharacter	yes	not executed
nul-byte	substitution	ls \0 -la	truncate the string somewhere downstream	refused	refused	metacharacter	yes	not executed
sh-c	interpreter	sh -c "rm -rf ."	ask for a shell by name	refused	refused	binary	yes	not executed
bash-c	interpreter	bash -c "rm -rf ."	the same, by another name	refused	refused	binary	yes	not executed
node-e	interpreter	node -e "require('fs').rmSync('.')"	the interpreter this project is written in	refused	refused	metacharacter	yes	not executed
python-c	interpreter	python -c "import os; os.system('id')"	another interpreter on the same PATH	refused	refused	metacharacter	yes	not executed
perl-e	interpreter	perl -e "unlink glob q(*)"	and another	refused	refused	metacharacter	yes	not executed
awk-system	interpreter	awk "BEGIN{system('id')}" README.md	awk is a language with system()	refused	refused	metacharacter	yes	not executed
