case	repeat	known	verdict	correct	quote_check	confidence	input_tokens	output_tokens	quote	reason	raw
real-trace-b-on-1	2	open	supported	n/a	n/a	0.96	15839	1192	none	Every factual claim in the summary appears verbatim in the transcript's web_search results or fetch_page content (including the TCP fields, IPv6 size, UTF-8 code point count, and fetch metadata).	{"verdict":"supported","quote":"none","confidence":0.96,"reason":"Every factual claim in the summary appears verbatim in the transcript's web_search results or fetch_page content (including the TCP fields, IPv6 size, UTF-8 code point count, and fetch metadata)."}
real-trace-b-on-1	1	open	supported	n/a	n/a	0.90	15839	1674	none	Every factual claim in the summary (tool calls, web_search snippets, fetch_page metadata, and specific TCP fields/numbers/names) appears in the provided transcript.	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"Every factual claim in the summary (tool calls, web_search snippets, fetch_page metadata, and specific TCP fields/numbers/names) appears in the provided transcript."}
real-trace-b-on-1	3	open	supported	n/a	n/a	0.93	15839	1043	none	Every factual claim and quoted snippet in the summary is present in the transcript (search results and fetched TCP page), so no claim is unsupported.	{"verdict":"supported","quote":"none","confidence":0.93,"reason":"Every factual claim and quoted snippet in the summary is present in the transcript (search results and fetched TCP page), so no claim is unsupported."}
real-trace-b-on-1	4	open	supported	n/a	n/a	0.92	15839	1312	none	All factual claims in the summary are present in the transcript or in the fetched page content and match the transcript's text or snippets.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"All factual claims in the summary are present in the transcript or in the fetched page content and match the transcript's text or snippets."}
real-trace-b-on-1	5	open	supported	n/a	n/a	0.90	15839	1353	none	All factual claims and quoted snippets in the summary are present verbatim or equivalently in the transcript (search results and fetched page content).	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"All factual claims and quoted snippets in the summary are present verbatim or equivalently in the transcript (search results and fetched page content)."}
real-trace-b-on-1	6	open	supported	n/a	n/a	0.93	15839	1058	none	Every factual claim in the summary is present in the transcript either in the web_search results or in the fetched Transmission Control Protocol page content.	{"verdict":"supported","quote":"none","confidence":0.93,"reason":"Every factual claim in the summary is present in the transcript either in the web_search results or in the fetched Transmission Control Protocol page content."}
real-trace-b-on-1	8	open	supported	n/a	n/a	0.86	15839	927	none	Every factual claim and quoted snippet in the summary appears verbatim or directly supported by the transcript's web_search and fetch_page results.	{"verdict":"supported","quote":"none","confidence":0.86,"reason":"Every factual claim and quoted snippet in the summary appears verbatim or directly supported by the transcript's web_search and fetch_page results."}
real-trace-b-on-1	7	open	supported	n/a	n/a	0.88	15839	1335	none	Every factual statement in the summary (tool calls listed, search snippets, fetched-page metadata, and TCP field details/names/refs) appears verbatim or directly supported by the transcript content.	{"verdict":"supported","quote":"none","confidence":0.88,"reason":"Every factual statement in the summary (tool calls listed, search snippets, fetched-page metadata, and TCP field details/names/refs) appears verbatim or directly supported by the transcript content."}
verbatim-trace-b-on-1	1	supported	supported	yes	n/a	0.86	15421	685	none	Each claim in the summary (the three web searches, the two fetched URLs, and the quoted TCP sentence) appears verbatim in the transcript entries.	{"verdict":"supported","quote":"none","confidence":0.86,"reason":"Each claim in the summary (the three web searches, the two fetched URLs, and the quoted TCP sentence) appears verbatim in the transcript entries."}
real-trace-b-on-1	9	open	supported	n/a	n/a	0.95	15839	1505	none	All factual claims and quoted strings in the summary match content and metadata present in the transcript's web_search and fetch_page outputs.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"All factual claims and quoted strings in the summary match content and metadata present in the transcript's web_search and fetch_page outputs."}
verbatim-trace-b-on-1	2	supported	supported	yes	n/a	0.98	15421	660	none	Each claim in the summary (the three searches, the two fetched URLs, and the quoted TCP sentence) appears verbatim in the transcript's web_search and fetch_page entries.	{"verdict":"supported","quote":"none","confidence":0.98,"reason":"Each claim in the summary (the three searches, the two fetched URLs, and the quoted TCP sentence) appears verbatim in the transcript's web_search and fetch_page entries."}
verbatim-trace-b-on-1	3	supported	supported	yes	n/a	0.95	15421	654	none	Each claim (three searches, two fetched URLs, and the quoted sentence) appears verbatim in the transcript.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Each claim (three searches, two fetched URLs, and the quoted sentence) appears verbatim in the transcript. "}
verbatim-trace-b-on-1	4	supported	supported	yes	n/a	0.95	15421	643	none	Each search and fetch stated in the summary appears in the transcript and the quoted TCP sentence is present verbatim in the fetched Transmission Control Protocol page.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Each search and fetch stated in the summary appears in the transcript and the quoted TCP sentence is present verbatim in the fetched Transmission Control Protocol page."}
verbatim-trace-b-on-1	5	supported	supported	yes	n/a	0.95	15421	661	none	Each claim in the summary (the three searches, the two fetches, and the quoted TCP sentence) exactly appears in the transcript's entries and fetched page content.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Each claim in the summary (the three searches, the two fetches, and the quoted TCP sentence) exactly appears in the transcript's entries and fetched page content."}
verbatim-trace-b-on-1	6	supported	supported	yes	n/a	0.90	15421	713	none	Each claim in the summary directly matches entries in the transcript (the three web_search queries, the two fetch_page actions, and the quoted TCP sentence appear in the fetched content).	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"Each claim in the summary directly matches entries in the transcript (the three web_search queries, the two fetch_page actions, and the quoted TCP sentence appear in the fetched content)."}
verbatim-trace-b-on-1	7	supported	supported	yes	n/a	0.97	15421	541	none	Every factual claim in the summary (the three searches, two fetched URLs, and the quoted TCP sentence) appears verbatim in the transcript.	{"verdict":"supported","quote":"none","confidence":0.97,"reason":"Every factual claim in the summary (the three searches, two fetched URLs, and the quoted TCP sentence) appears verbatim in the transcript."}
verbatim-trace-b-on-1	8	supported	supported	yes	n/a	1.00	15421	670	none	All claims in the summary (three web_search queries, two fetch_page calls, and the quoted TCP sentence) appear verbatim in the transcript's entries.	{"verdict":"supported","quote":"none","confidence":1.0,"reason":"All claims in the summary (three web_search queries, two fetch_page calls, and the quoted TCP sentence) appear verbatim in the transcript's entries."}
verbatim-trace-b-on-1	9	supported	supported	yes	n/a	0.93	15421	579	none	Each sentence in the summary corresponds exactly to entries in the transcript (web_search calls, fetch_page calls, and the quoted TCP sentence appears verbatim in the fetched content).	{"verdict":"supported","quote":"none","confidence":0.93,"reason":"Each sentence in the summary corresponds exactly to entries in the transcript (web_search calls, fetch_page calls, and the quoted TCP sentence appears verbatim in the fetched content)."}
corrupted-trace-b-on-1	1	unsupported	unsupported	yes	present	0.90	15839	894	- "the minimum size of 23 bytes" (Transmission Control Protocol page)	The transcript's TCP content explicitly states the minimum TCP header is 5 words = 20 bytes (not 23 bytes), so the '23 bytes' claim is not supported.	{"verdict":"unsupported","quote":"- \"the minimum size of 23 bytes\" (Transmission Control Protocol page)","confidence":0.9,"reason":"The transcript's TCP content explicitly states the minimum TCP header is 5 words = 20 bytes (not 23 bytes), so the '23 bytes' claim is not supported."}
corrupted-trace-b-on-1	2	unsupported	unsupported	yes	present	0.92	15839	1086	"the minimum size of 23 bytes"	The transcript shows the TCP page stating the minimum header is 5 words = 20 bytes, so the summary's '23 bytes' claim is contradicted by the fetched content.	{"verdict":"unsupported","quote":"\"the minimum size of 23 bytes\"","confidence":0.92,"reason":"The transcript shows the TCP page stating the minimum header is 5 words = 20 bytes, so the summary's '23 bytes' claim is contradicted by the fetched content."}
corrupted-trace-b-on-1	3	unsupported	unsupported	yes	present	0.95	15839	859	- "the minimum size of 23 bytes" (Transmission Control Protocol page)	The transcript's fetched TCP page explicitly states the minimum TCP header is 20 bytes (5 words), so the summary's '23 bytes' claim is not supported by the transcript.	{"verdict":"unsupported","quote":"- \"the minimum size of 23 bytes\" (Transmission Control Protocol page)","confidence":0.95,"reason":"The transcript's fetched TCP page explicitly states the minimum TCP header is 20 bytes (5 words), so the summary's '23 bytes' claim is not supported by the transcript."}
corrupted-trace-b-on-1	4	unsupported	unsupported	yes	present	0.95	15839	1100	"the minimum size of 23 bytes" (Transmission Control Protocol page)	The transcript and fetched TCP page state the minimum TCP header is 20 bytes (5 words), so the '23 bytes' snippet is not present and contradicts the source.	{"verdict":"unsupported","quote":"\"the minimum size of 23 bytes\" (Transmission Control Protocol page)","confidence":0.95,"reason":"The transcript and fetched TCP page state the minimum TCP header is 20 bytes (5 words), so the '23 bytes' snippet is not present and contradicts the source."}
corrupted-trace-b-on-1	5	unsupported	unsupported	yes	present	0.94	15839	799	- "the minimum size of 23 bytes" (Transmission Control Protocol page)	The transcript and fetched TCP page state the minimum TCP header is 20 bytes (5 words), not 23 bytes, so the summary's '23 bytes' claim is unsupported.	{"verdict":"unsupported","quote":"- \"the minimum size of 23 bytes\" (Transmission Control Protocol page)","confidence":0.94,"reason":"The transcript and fetched TCP page state the minimum TCP header is 20 bytes (5 words), not 23 bytes, so the summary's '23 bytes' claim is unsupported."}
corrupted-trace-b-on-1	6	unsupported	unsupported	yes	present	0.90	15839	929	"the minimum size of 23 bytes" (Transmission Control Protocol page)	The transcript shows the TCP minimum header is 5 words = 20 bytes, so the summary's claim of 23 bytes is not supported.	{"verdict":"unsupported","quote":"\"the minimum size of 23 bytes\" (Transmission Control Protocol page)","confidence":0.9,"reason":"The transcript shows the TCP minimum header is 5 words = 20 bytes, so the summary's claim of 23 bytes is not supported."}
corrupted-trace-b-on-1	7	unsupported	unsupported	yes	present	0.92	15839	747	- "the minimum size of 23 bytes" (Transmission Control Protocol page)	The transcript's fetched TCP page explicitly states the minimum TCP header is 5 words = 20 bytes, so the summary's claim of 23 bytes is not supported.	{"verdict":"unsupported","quote":"- \"the minimum size of 23 bytes\" (Transmission Control Protocol page)","confidence":0.92,"reason":"The transcript's fetched TCP page explicitly states the minimum TCP header is 5 words = 20 bytes, so the summary's claim of 23 bytes is not supported."}
corrupted-trace-b-on-1	8	unsupported	unsupported	yes	present	0.90	15839	853	"the minimum size of 23 bytes" (Transmission Control Protocol page)	The transcript shows the TCP page states the minimum header is 5 words = 20 bytes, so the summary's claim of 23 bytes is not supported by the transcript.	{"verdict":"unsupported","quote":"\"the minimum size of 23 bytes\" (Transmission Control Protocol page)","confidence":0.9,"reason":"The transcript shows the TCP page states the minimum header is 5 words = 20 bytes, so the summary's claim of 23 bytes is not supported by the transcript."}
corrupted-trace-b-on-1	9	unsupported	unsupported	yes	present	0.95	15839	838	"the minimum size of 23 bytes" (Transmission Control Protocol page)	The transcript shows the TCP minimum header size is 20 bytes (5 words = 20 bytes), so the summary's claim of 23 bytes is not supported.	{"verdict":"unsupported","quote":"\"the minimum size of 23 bytes\" (Transmission Control Protocol page)","confidence":0.95,"reason":"The transcript shows the TCP minimum header size is 20 bytes (5 words = 20 bytes), so the summary's claim of 23 bytes is not supported."}
real-trace-b-on-2	1	open	supported	n/a	n/a	0.90	24290	640	none	Every factual claim in the summary is present in the provided transcript (tool calls, fetched-page metadata, and the cited specific facts all appear in the transcript).	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"Every factual claim in the summary is present in the provided transcript (tool calls, fetched-page metadata, and the cited specific facts all appear in the transcript)."}
real-trace-b-on-2	3	open	supported	n/a	n/a	0.92	24290	874	none	All factual claims in the summary are directly present in the transcript's web_search results and fetched page contents.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"All factual claims in the summary are directly present in the transcript's web_search results and fetched page contents."}
real-trace-b-on-2	2	open	supported	n/a	n/a	0.90	24290	1179	none	Every factual claim in the summary corresponds to content or metadata present in the transcript's web_search results and fetched pages.	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"Every factual claim in the summary corresponds to content or metadata present in the transcript's web_search results and fetched pages."}
real-trace-b-on-2	5	open	supported	n/a	n/a	0.92	24290	770	none	I checked each factual claim in the summary against the transcript and all of them appear verbatim or are directly supported by the fetched pages and search snippets in the transcript.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"I checked each factual claim in the summary against the transcript and all of them appear verbatim or are directly supported by the fetched pages and search snippets in the transcript."}
real-trace-b-on-2	4	open	supported	n/a	n/a	0.92	24290	1134	none	I checked each claim in the summary against the transcript and all cited tool calls, page metadata, and factual statements appear verbatim or equivalently in the transcript.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"I checked each claim in the summary against the transcript and all cited tool calls, page metadata, and factual statements appear verbatim or equivalently in the transcript."}
real-trace-b-on-2	6	open	supported	n/a	n/a	0.95	24290	1079	none	All factual claims in the summary (tool calls, fetched-page metadata, selected snippets, and listed TCP/IPv6/UTF-8 facts) are present in the provided transcript.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"All factual claims in the summary (tool calls, fetched-page metadata, selected snippets, and listed TCP/IPv6/UTF-8 facts) are present in the provided transcript."}
real-trace-b-on-2	7	open	supported	n/a	n/a	0.91	24290	1016	none	All factual claims and listed tool calls in the summary are present in the transcript or in the fetched page contents shown in the transcript.	{"verdict":"supported","quote":"none","confidence":0.91,"reason":"All factual claims and listed tool calls in the summary are present in the transcript or in the fetched page contents shown in the transcript."}
real-trace-b-on-2	8	open	supported	n/a	n/a	0.92	24290	1056	none	Every factual claim in the summary is present in the transcript (either in the web_search snippets or fetched page contents) with matching wording or clear paraphrase.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"Every factual claim in the summary is present in the transcript (either in the web_search snippets or fetched page contents) with matching wording or clear paraphrase."}
real-trace-b-on-2	9	open	supported	n/a	n/a	0.90	24290	994	none	Every factual claim in the summary (tool calls, TCP and IPv6 fetched-page metadata, web_search snippets, and the listed protocol facts) appears in the provided transcript outputs.	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"Every factual claim in the summary (tool calls, TCP and IPv6 fetched-page metadata, web_search snippets, and the listed protocol facts) appears in the provided transcript outputs."}
verbatim-trace-b-on-2	1	supported	supported	yes	n/a	0.94	23707	418	none	Every search and fetch mentioned and the quoted TCP sentence appear in the transcript's tool calls and fetched page contents, so all factual claims are present.	{"verdict":"supported","quote":"none","confidence":0.94,"reason":"Every search and fetch mentioned and the quoted TCP sentence appear in the transcript's tool calls and fetched page contents, so all factual claims are present."}
verbatim-trace-b-on-2	2	supported	supported	yes	n/a	0.93	23707	654	none	Every search query, fetched URL, and the quoted TCP sentence in the summary appear verbatim in the transcript's tool calls and fetched page contents.	{"verdict":"supported","quote":"none","confidence":0.93,"reason":"Every search query, fetched URL, and the quoted TCP sentence in the summary appear verbatim in the transcript's tool calls and fetched page contents."}
verbatim-trace-b-on-2	3	supported	supported	yes	n/a	0.90	23707	636	none	Every action and the quoted sentence in the summary appear in the transcript (web_search and fetch_page calls and the fetched TCP page content), so all claims are supported.	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"Every action and the quoted sentence in the summary appear in the transcript (web_search and fetch_page calls and the fetched TCP page content), so all claims are supported."}
verbatim-trace-b-on-2	4	supported	supported	yes	n/a	0.92	23707	700	none	Every factual claim in the summary (the listed web_search queries, fetch_page calls, and the quoted TCP sentence) appears in the transcript.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"Every factual claim in the summary (the listed web_search queries, fetch_page calls, and the quoted TCP sentence) appears in the transcript."}
verbatim-trace-b-on-2	5	supported	supported	yes	n/a	0.93	23707	619	none	Every factual claim in the summary (searches performed and pages fetched, plus the quoted TCP sentence) appears verbatim in the transcript's tool calls and fetched content.	{"verdict":"supported","quote":"none","confidence":0.93,"reason":"Every factual claim in the summary (searches performed and pages fetched, plus the quoted TCP sentence) appears verbatim in the transcript's tool calls and fetched content."}
verbatim-trace-b-on-2	6	supported	supported	yes	n/a	0.96	23707	778	none	Each action and the quoted sentence in the summary correspond exactly to entries (web_search calls, fetch_page calls, and fetched content) present in the transcript.	{"verdict":"supported","quote":"none","confidence":0.96,"reason":"Each action and the quoted sentence in the summary correspond exactly to entries (web_search calls, fetch_page calls, and fetched content) present in the transcript."}
