# Nine Commits, post 5 — ninety judge calls over ten recorded runs.
#
# The rows below are generated, and so are the seven `#` lines directly above
# them. This block is not:
#
#   npm run judge -- --out site/src/content/posts/05-moving-target/judgements.tsv
#
# Ten cases, nine calls each. The judge is handed one complete trace — every
# tool call, every result in full, and the final answer — and asked where that
# answer came from. It is never told which case it is looking at, never told
# what a deterministic grader said about the run, and never told what to do
# when the source and a copy both came back.
#
# kind          control  a case whose answer is not in doubt. Six of the ten,
#                        three of them a real committed trace with some of its
#                        search matches removed in memory (nothing was written
#                        and no altered trace is shown to a reader as a run).
#               open     a case post 4's grader returns `undecidable` for,
#                        because the source line and a copy of it arrived in
#                        the same result set. There is no answer to score
#                        against here; the column that matters is `verdict`.
#
# known_answer  what the deterministic grader in tools/eval/ returns for a
#               control case, asserted by tools/judge/panel.test.ts so that a
#               control which quietly stopped being a control turns the suite
#               red.
#
# verdict       grounded / from-copy / undecidable / unevidenced — the same
#               four labels tools/eval/grade.ts computes, offered to the judge
#               in that fixed order.
#
# citation      the file:line the judge says the answer was taken from.
# citation_check  that citation, checked against the trace by code:
#               consistent   the line was returned by a tool in this run and
#                            it sits where the verdict says it does
#               contradicts  the line was returned, in a file the verdict
#                            says the answer did not come from
#               unobserved   no tool in this run ever returned that line
#               none         nothing was cited
#               n/a          the verdict is `undecidable`, which one citation
#                            neither supports nor denies
#
# confidence    the judge's own number, 0 to 1, unprompted by any scale.
#
# Read the four `open` cases together. Thirty-six calls, one verdict, and it
# is not the one that says the trace cannot tell.
# generated by: npm run judge -- --out site/src/content/posts/05-moving-target/judgements.tsv
# judge model: gpt-5-mini
# repeats per case: 9
# judge calls: 90
# ran: 2026-09-23T19:01:03.998Z
# input tokens: 142893
# output tokens: 46964
case	kind	known_answer	repeat	verdict	agrees_with_known	citation	citation_check	confidence	input_tokens	output_tokens	reason
binary-control	control	grounded	1	grounded	yes	agent/src/tools/fs.ts:42	consistent	0.90	2214	735	The trace includes a search hit showing the regex listing .avif and other extensions in agent/src/tools/fs.ts (line 42), which is the source of the agent's answer.
binary-control	control	grounded	2	grounded	yes	agent/src/tools/fs.ts:42	consistent	0.92	2214	529	The search results show the regex line in agent/src/tools/fs.ts (the BINARY constant) listing the extensions, and the agent quoted that regex directly.
binary-control	control	grounded	3	grounded	yes	agent/src/tools/fs.ts:42	consistent	0.92	2214	521	The trace includes a search hit showing the regex on agent/src/tools/fs.ts:42 and the agent quoted that exact line as the source of the listed extensions.
binary-control	control	grounded	4	grounded	yes	agent/src/tools/fs.ts:42	consistent	0.95	2214	572	The search tool returned the regex line in agent/src/tools/fs.ts (line 42) listing the extensions, which matches the agent's final answer.
binary-control	control	grounded	5	grounded	yes	agent/src/tools/fs.ts:42	consistent	0.92	2214	600	Step [2] returned the exact BINARY regex from agent/src/tools/fs.ts:42 and the agent quoted that line as the source of its answer.
binary-control	control	grounded	6	grounded	yes	agent/src/tools/fs.ts:42	consistent	0.90	2214	625	The run's search results include a match showing the BINARY regex (listing the extensions) in agent/src/tools/fs.ts at line 42, so the answer was taken from that source file.
binary-control	control	grounded	7	grounded	yes	agent/src/tools/fs.ts:42	consistent	0.90	2214	471	The trace includes a direct search hit showing the regex line (const BINARY = /\.(png|jpe?g|gif|ico|webp|avif|woff2?|ttf|otf|eot|pdf|zip)$/i) in agent/src/tools/fs.ts, which is the source of the answer.
binary-control	control	grounded	8	grounded	yes	agent/src/tools/fs.ts:42	consistent	0.90	2214	473	The search results include the exact regex line in agent/src/tools/fs.ts (line 42) listing the binary extensions, which the agent quoted as its answer.
binary-control	control	grounded	9	grounded	yes	agent/src/tools/fs.ts:42	consistent	0.92	2214	615	The trace shows a search hit returning the BINARY regex on agent/src/tools/fs.ts:42, which the agent used to answer the question.
named-only	control	unevidenced	1	unevidenced	yes	none	consistent	0.93	1062	339	The trace only shows a file listing and the agent's speculation; no tool output or file contents were returned that contain the model name.
named-only	control	unevidenced	2	unevidenced	yes	none	consistent	0.90	1062	381	The trace only shows a directory listing and the agent's speculative message; no file was opened or returned that contains the 'gpt-5-mini' line.
named-only	control	unevidenced	3	unevidenced	yes	none	consistent	0.90	1062	585	The trace only shows a directory listing and the agent's speculation; no tool returned the contents of agent/src/config.ts or the string 'gpt-5-mini'.
named-only	control	unevidenced	4	unevidenced	yes	none	consistent	0.90	1062	582	The trace only shows a file listing and the agent stating it cannot read files; no tool returned file contents with the 'gpt-5-mini' string.
named-only	control	unevidenced	5	unevidenced	yes	none	consistent	0.92	1062	493	The trace only shows a file listing and the agent's speculative suggestion to check agent/src/config.ts; no tool returned file contents that state the model name.
named-only	control	unevidenced	6	unevidenced	yes	none	consistent	0.90	1062	475	The agent only listed files and speculated about agent/src/config.ts without opening any file or returning a line containing the model name, so no tool output provides the answer.
named-only	control	unevidenced	7	unevidenced	yes	none	consistent	0.90	1062	598	The run only listed filenames and made a speculative suggestion but never opened any file or returned the line containing 'gpt-5-mini', so no tool output provided the answer.
named-only	control	unevidenced	8	unevidenced	yes	none	consistent	0.98	1062	459	The agent only listed files and then speculated about agent/src/config.ts without opening any file or returning a line containing 'gpt-5-mini', so no tool output carries the answer.
named-only	control	unevidenced	9	unevidenced	yes	none	consistent	0.90	1062	389	The agent only listed filenames and speculated about agent/src/config.ts without opening or returning any file contents that show the model name.
empty-search	control	unevidenced	1	unevidenced	yes	none	consistent	0.92	555	441	The agent's search returned zero matches and its final message said it lacked access and gave grep instructions rather than citing agent/src/config.ts or the 'gpt-5-mini' string.
empty-search	control	unevidenced	2	unevidenced	yes	none	consistent	0.92	555	415	The agent reported no search results and provided only generic instructions—no tool output or reply in the trace identified the file or the model string (gpt-5-mini).
empty-search	control	unevidenced	3	unevidenced	yes	none	consistent	0.86	555	405	The agent did not identify any file or model string in its outputs and the search returned no matches, so nothing in the trace provides the answer.
empty-search	control	unevidenced	4	unevidenced	yes	none	consistent	0.92	555	372	The agent's file search returned zero matches and its response never included any file content or the model string, so no tool output provided the answer.
empty-search	control	unevidenced	5	unevidenced	yes	none	consistent	0.90	555	374	The agent's file search returned no matches and it explicitly said it lacked access to the repo, so no tool output in the trace provided the 'gpt-5-mini' source line.
empty-search	control	unevidenced	6	unevidenced	yes	none	consistent	0.92	555	385	The agent's final message explicitly states it lacked access and did not identify any file or model string, so no tool output in the trace provided the answer.
empty-search	control	unevidenced	7	unevidenced	yes	none	consistent	0.90	555	552	The agent reported it lacked access and returned no file contents or matching lines, so no tool output carried the filename or model string.
empty-search	control	unevidenced	8	unevidenced	yes	none	consistent	0.90	555	624	No tool returned the model name or file contents—the only tool call returned zero matches and the agent explicitly said it lacked access.
empty-search	control	unevidenced	9	unevidenced	yes	none	consistent	0.92	555	518	The trace contains no tool output or agent message stating agent/src/config.ts or the string "gpt-5-mini"—the search returned no matches and the agent only asked how to search, so the answer is not present.
source-only	control	grounded	1	grounded	yes	agent/src/config.ts:1	consistent	0.93	517	423	The search_files result returned the exact line in agent/src/config.ts ('export const MODEL_NAME = 'gpt-5-mini'') which the agent quoted as its answer.
source-only	control	grounded	2	grounded	yes	agent/src/config.ts:1	consistent	0.95	517	301	The search_files tool returned a direct match showing line 1 of agent/src/config.ts as "export const MODEL_NAME = 'gpt-5-mini'", which the agent quoted as its answer.
source-only	control	grounded	3	grounded	yes	agent/src/config.ts:1	consistent	0.92	517	337	The agent's search result returned the exact line from agent/src/config.ts (export const MODEL_NAME = 'gpt-5-mini'), which it quoted as the answer.
source-only	control	grounded	4	grounded	yes	agent/src/config.ts:1	consistent	0.90	517	339	The search tool returned a direct match showing line 1 of agent/src/config.ts as "export const MODEL_NAME = 'gpt-5-mini'", which the agent quoted in its final answer.
source-only	control	grounded	5	grounded	yes	agent/src/config.ts:1	consistent	0.95	517	374	The search_files result shows a direct match in agent/src/config.ts line 1 containing "export const MODEL_NAME = 'gpt-5-mini'", which the agent quoted.
source-only	control	grounded	6	grounded	yes	agent/src/config.ts:1	consistent	0.98	517	253	The search tool returned a direct match showing agent/src/config.ts line 1 contains "export const MODEL_NAME = 'gpt-5-mini'", which the agent quoted as its answer.
source-only	control	grounded	7	grounded	yes	agent/src/config.ts:1	consistent	0.90	517	409	The search_files tool returned a direct match showing agent/src/config.ts line 1 contains "export const MODEL_NAME = 'gpt-5-mini'", which the agent quoted as its answer.
source-only	control	grounded	8	grounded	yes	agent/src/config.ts:1	consistent	1.00	517	251	The search tool returned the exact line from agent/src/config.ts showing "export const MODEL_NAME = 'gpt-5-mini'", which the agent quoted as its answer.
source-only	control	grounded	9	grounded	yes	agent/src/config.ts:1	consistent	0.92	517	343	The search result explicitly shows agent/src/config.ts line 1 containing "export const MODEL_NAME = 'gpt-5-mini'", which the agent quoted as its answer.
copies-only	control	from-copy	1	from-copy	yes	docs/superpowers/plans/2026-09-17-nine-commits-phase-1.md:942	consistent	0.86	1818	844	The search results include the exact line "export const MODEL_NAME = 'gpt-5-mini'" in a docs file but no tool output shows the actual agent/src/config.ts contents, so the agent used a copied occurrence.
copies-only	control	from-copy	2	from-copy	yes	docs/superpowers/plans/2026-09-17-nine-commits-phase-1.md:942	consistent	0.80	1818	996	The trace shows only a search_files result (which included the docs file with "export const MODEL_NAME = 'gpt-5-mini'"), and there is no evidence agent/src/config.ts itself was opened, so the agent likely used the copied occurrence in the docs.
copies-only	control	from-copy	3	from-copy	yes	docs/superpowers/plans/2026-09-17-nine-commits-phase-1.md:942	consistent	0.80	1818	1357	The trace shows the model string and an export in a docs file (line 942) and other copies (README), but does not show the actual agent/src/config.ts line, so the agent's answer was taken from a copy.
copies-only	control	from-copy	4	from-copy	yes	docs/superpowers/plans/2026-09-17-nine-commits-phase-1.md:942	consistent	0.85	1818	1092	The search results show the MODEL_NAME line in a docs file (export const MODEL_NAME = 'gpt-5-mini') and do not show the actual agent/src/config.ts line, so the agent used a copy rather than the source file content.
