when	condition	run	tools_called	steps	stopped_by	compactions	max_parallel	pass	why	facts	facts_anywhere	facts_dropped	facts_kept	facts_lost	answer_grade	peak_context	input_tokens	output_tokens	summary_input_tokens	summary_output_tokens	estimate_error_pct	live_fetches	answer
2026-09-24T11:25:50.769Z	off	2	web_search fetch_page web_search fetch_page web_search fetch_page	6	context-overflow	0	1	fail	no notes/research.md	none	none	none	none	none	failure	12451	39230	619	0	0	1.04	1	
2026-09-24T11:25:50.750Z	off	1	web_search fetch_page web_search fetch_page web_search web_search web_search web_search web_search fetch_page	10	context-overflow	0	1	fail	no notes/research.md	none	none	none	none	none	failure	13297	90196	1029	0	0	2.11	4	
2026-09-24T11:26:08.229Z	off	3	web_search web_search web_search fetch_page fetch_page fetch_page	2	context-overflow	0	3	fail	no notes/research.md	none	none	none	none	none	failure	1963	2671	498	0	0	-21.87	0	
2026-09-24T11:26:13.778Z	off	4	web_search web_search web_search fetch_page fetch_page fetch_page	2	context-overflow	0	3	fail	no notes/research.md	none	none	none	none	none	failure	2233	2941	769	0	0	-24.86	0	
2026-09-24T11:26:20.764Z	on	4	web_search fetch_page web_search fetch_page web_search fetch_page write_file	8	model	2	1	pass	three answers, each with its source	tcp-header ipv6-length utf8-codepoints	tcp-header ipv6-length utf8-codepoints	ipv6-length tcp-header utf8-codepoints	ipv6-length tcp-header utf8-codepoints	none	success	7494	42846	1237	12220	5067	-4.00	0	Done — I wrote notes/research.md with the three answers and their sources: 1. 20 bytes — https://en.wikipedia.org/wiki/Transmission_Control_Protocol 2. 128 bits — https://en.wikipedia.org/wiki/IPv6 3. 1,112,064 code points — https://en.wikipedia.org/wiki/UTF-8
2026-09-24T11:27:33.161Z	off	5	web_search fetch_page web_search fetch_page web_search fetch_page	6	context-overflow	0	1	fail	no notes/research.md	none	none	none	none	none	failure	11751	37676	419	0	0	0.78	1	
2026-09-24T11:25:50.770Z	on	2	web_search fetch_page web_search fetch_page fetch_page fetch_page write_file	8	model	3	1	pass	three answers, each with its source	tcp-header ipv6-length utf8-codepoints	tcp-header ipv6-length utf8-codepoints	ipv6-length tcp-header	ipv6-length tcp-header	none	success	7067	42544	1542	17713	4766	-3.43	0	Wrote notes/research.md with the three lines: 1. 20 — https://en.wikipedia.org/wiki/Transmission_Control_Protocol 2. 128 — https://en.wikipedia.org/wiki/IPv6 3. 1,112,064 — https://en.wikipedia.org/wiki/UTF-8
2026-09-24T11:26:09.202Z	on	3	web_search fetch_page web_search fetch_page web_search web_search fetch_page fetch_page fetch_page fetch_page write_file	11	model	4	2	pass	three answers, each with its source	tcp-header ipv6-length utf8-codepoints	tcp-header ipv6-length utf8-codepoints	ipv6-length tcp-header utf8-codepoints	ipv6-length tcp-header utf8-codepoints	none	success	11997	69104	1756	29704	7378	-3.58	2	Wrote notes/research.md with the three sourced answers: 1. 20 bytes — https://en.wikipedia.org/wiki/Transmission_Control_Protocol 2. 128 bits — https://en.wikipedia.org/wiki/IPv6 3. 1,112,064 code points — https://en.wikipedia.org/wiki/UTF-8
2026-09-24T11:27:43.544Z	on	5	web_search web_search web_search fetch_page fetch_page fetch_page	2	context-overflow	1	3	fail	no notes/research.md	none	none	ipv6-length tcp-header utf8-codepoints	ipv6-length tcp-header utf8-codepoints	none	failure	2037	2745	584	1139	1222	-21.33	0	
2026-09-24T11:27:51.831Z	off	6	web_search fetch_page web_search fetch_page web_search web_search web_search fetch_page	8	context-overflow	0	1	fail	no notes/research.md	none	none	none	none	none	failure	13108	66291	1059	0	0	0.68	3	
